id	SampleID	BioSample	ID	SRA	SampleName	Collection_date	Depth	site	elevation	Broad_scale_environmental_context	Local_scale_environmental_context	Environmental_medium	Latitude_and_Longitude	Geographic Location	Study_zone	Ecological_type	Parametros	Temperatura	Salinidad	pH	Redox mV	S-2	SO4
zr2502_41_R1	zr2502_41_R1	P41	zr2	zr2502_41_R1			0.200	41						Mexico:Campeche	Estero_pargo		no						
zr2502_42_R1	zr2502_42_R1	P42	zr2	zr2502_42_R1			0.400	42						Mexico:Campeche	Estero_pargo		no						
zr2502_43_R1	zr2502_43_R1	P43	zr2	zr2502_43_R1			0.500	43						Mexico:Campeche	Estero_pargo		no						
zr2502_44_R1	zr2502_44_R1	P44	zr2	zr2502_44_R1			0.200	44						Mexico:Campeche	Estero_pargo		no						
zr2502_45_R1	zr2502_45_R1	P45	zr2	zr2502_45_R1			0.400	45						Mexico:Campeche	Estero_pargo		no						
zr2502_46_R1	zr2502_46_R1	P46	zr2	zr2502_46_R1			0.050	46						Mexico:Campeche	Estero_pargo		no						
zr2502_47_R1	zr2502_47_R1	P47	zr2	zr2502_47_R1			0.200	47						Mexico:Campeche	Estero_pargo		no						
zr2502_48_R1	zr2502_48_R1	P48	zr2	zr2502_48_R1			0.400	48						Mexico:Campeche	Estero_pargo		no						
zr2502_49_R1	zr2502_49_R1	P49	zr2	zr2502_49_R1			0.050	49						Mexico:Campeche	Estero_pargo		no						
zr2502_50_R1	zr2502_50_R1	P50	zr2	zr2502_50_R1			0.200	50						Mexico:Campeche	Estero_pargo		no						
zr2502_51_R1	zr2502_51_R1	P51	zr2	zr2502_51_R1			0.400	51						Mexico:Campeche	Estero_pargo		no						
zr2502_52_R1	zr2502_52_R1	P52	zr2	zr2502_52_R1			0.050	52						Mexico:Campeche	Estero_pargo		no						
zr2502_53_R1	zr2502_53_R1	P53	zr2	zr2502_53_R1			0.200	53						Mexico:Campeche	Estero_pargo		no						
zr2502_54_R1	zr2502_54_R1	P54	zr2	zr2502_54_R1			0.400							Mexico:Campeche	Estero_pargo		no						
